donor_id,first_name,last_name,email,gender,join_date,alumni_status,total_gifts,donor_tier
D0025,James,Mitchell,kramerkenneth@yahoo.com,Female,2025-01-08,False,3717.59,Silver
D0026,Jessica,Fernandez,eric07@smith-key.info,Female,2021-03-07,False,5533.44,Gold
D0027,Jessica,Williams,alvarezanne@hotmail.com,Other,2025-04-17,True,7944.91,Gold
D0028,Patrick,Moore,efrench@duncan.biz,Other,2023-06-11,True,6832.82,Gold
D0029,John,Evans,craigscott@vaughn-lucas.com,Male,2024-09-13,False,9445.55,Gold
D0030,Christopher,Massey,nancykim@shannon.com,Other,2022-02-10,False,6884.11,Gold
D0031,Louis,Bullock,espinozatyrone@chung.com,Male,2024-09-14,False,361.15,Bronze
D0032,Hunter,Dean,fanderson@hotmail.com,Male,2022-04-13,True,9811.84,Gold
D0033,Rebekah,Clark,josephcook@cisneros-martin.com,Female,2022-10-22,False,2932.71,Silver
D0034,Crystal,Oliver,timothyrios@gmail.com,Female,2024-02-10,False,3428.95,Silver
D0035,Anthony,Miller,imason@hotmail.com,Male,2024-09-05,True,1765.22,Silver
D0036,Robert,Williams,victoriasandoval@yahoo.com,Other,2025-02-15,False,2391.95,Silver
D0037,Danielle,Gonzales,lewisjoshua@yahoo.com,Male,2024-07-18,True,931.22,Bronze
D0038,Andrew,Shelton,melissa00@robles-bond.com,Male,2022-06-10,True,1261.78,Silver
D0039,Ashley,Smith,yatesalexander@gmail.com,Female,2023-09-19,False,3370.77,Silver
D0040,Denise,Ramos,malvarez@grimes-rodriguez.com,Other,2024-03-31,True,5038.25,Gold
D0041,Micheal,Schneider,cbrown@lewis-young.com,Male,2024-09-11,True,9681.62,Gold
D0042,Anthony,Stephens,jirwin@sloan-moody.com,Female,2021-03-27,False,9545.44,Gold
D0043,Zachary,Jones,michael73@yahoo.com,Female,2024-07-10,False,8912.76,Gold
D0044,Adrian,Gamble,joseph78@hotmail.com,Other,2023-12-08,True,2737.77,Silver
D0045,Andrew,Cooper,oconnorandre@palmer-jones.com,Male,2020-09-29,True,4895.83,Silver
D0046,Scott,Jackson,barnesstephen@yahoo.com,Female,2020-07-24,False,2016.03,Silver
D0047,James,Smith,lgreen@yahoo.com,Other,2021-11-05,True,4927.14,Silver
D0048,Matthew,Garcia,terri37@morgan-williams.net,Female,2021-10-06,True,5212.31,Gold
D0049,David,Harrell,christopher65@yahoo.com,Other,2021-08-01,False,7835.15,Gold
D0050,Matthew,Beard,douglas66@hotmail.com,Other,2023-06-07,False,464.92,Bronze
D0051,Jodi,Crawford,nelsonwillie@ferrell.com,Other,2024-01-06,True,3702.29,Silver
D0052,Patricia,Hamilton,wisecharlene@yahoo.com,Female,2023-05-22,False,5774.31,Gold
D0053,Teresa,Douglas,kberry@hotmail.com,Female,2024-04-15,True,2873.91,Silver
D0054,Amanda,Blanchard,robertsonkaren@gmail.com,Female,2022-12-30,False,4805.37,Silver
D0055,William,Garcia,timothyallen@gmail.com,Female,2025-01-24,False,1376.19,Silver
D0056,Luis,Austin,broberts@garrett-edwards.com,Other,2021-11-26,False,6585.69,Gold
D0057,Tony,Lowe,robertajohnson@wilkerson.com,Other,2021-03-29,False,6421.59,Gold
D0058,Kevin,Medina,debra24@hotmail.com,Male,2023-02-18,True,5092.15,Gold
D0059,Robert,Evans,tcortez@howell.com,Male,2024-02-22,True,5141.03,Gold
D0060,Cheryl,Webb,jasongraves@carroll.com,Male,2021-10-13,False,2521.08,Silver
D0061,Anthony,Kent,lorettakelly@gmail.com,Female,2023-05-26,True,5087.64,Gold
D0062,Lindsey,Weber,wlopez@reed-johnson.com,Female,2021-11-04,False,2358.86,Silver
D0063,Victor,Rivas,amanda83@rogers.org,Female,2024-02-07,False,7166.76,Gold
D0064,Timothy,Stewart,rachelpotter@yahoo.com,Male,2024-03-10,False,8635.87,Gold
D0065,Dawn,Smith,zjackson@gallagher-cook.com,Female,2024-01-12,False,864.85,Bronze
D0066,Scott,Villegas,tuckerlauren@yahoo.com,Female,2024-06-11,False,4964.74,Silver
D0067,Bryan,Griffin,ihenry@yahoo.com,Other,2024-01-15,False,8581.92,Gold
D0068,Troy,Gordon,kaufmanclaudia@smith.org,Other,2022-06-02,True,9672.09,Gold
D0069,Tiffany,Taylor,rodney54@yahoo.com,Other,2023-10-14,True,8851.11,Gold
D0070,Paul,Collins,louis84@yahoo.com,Male,2023-12-29,True,4038.71,Silver
D0071,Ralph,Thomas,ymcdonald@hotmail.com,Male,2023-09-02,False,5405.06,Gold
D0072,Betty,Ramos,gknight@perry.info,Male,2022-02-11,False,2451.43,Silver
D0073,Micheal,Leon,nmartinez@grant.org,Male,2020-12-14,True,8618.14,Gold
D0074,Brittany,May,jacobsemily@brown.com,Other,2022-12-11,True,8586.42,Gold
D0075,Megan,Fleming,princebrian@hotmail.com,Male,2022-06-12,True,6770.21,Gold
D0076,Lisa,Williams,ryan83@lopez.net,Male,2022-10-12,True,8818.18,Gold
D0077,Stephen,Long,aprilcarter@powers.com,Other,2022-04-17,False,2990.18,Silver
D0078,Denise,Flores,tristanray@jones-dean.net,Female,2021-06-19,False,9613.37,Gold
D0079,Kimberly,Scott,fmclaughlin@yahoo.com,Male,2024-10-13,True,4239.39,Silver
D0080,Cynthia,Wilson,pclayton@brown.biz,Female,2021-05-30,False,230.12,Bronze
D0081,Alex,Russo,gonzalesanita@hernandez.net,Male,2020-06-22,True,6580.8,Gold
D0082,Samantha,Rose,yparker@hotmail.com,Female,2022-09-26,True,9758.04,Gold
D0083,Jennifer,Landry,vdyer@bryan-warren.com,Other,2023-02-20,True,8956.48,Gold
D0084,Christopher,Gomez,wshea@doyle.com,Female,2023-05-12,False,887.15,Bronze
D0085,Laura,Duarte,cbass@yahoo.com,Female,2025-03-29,True,7099.59,Gold
D0086,Edward,Mendoza,ufox@hernandez.com,Male,2021-12-19,True,5047.63,Gold
D0087,Victoria,Murphy,wferrell@gmail.com,Male,2021-09-22,True,9346.48,Gold
D0088,Alexander,Long,hopkinsmatthew@williams.org,Other,2024-08-08,False,4748.15,Silver
D0089,Vincent,Stafford,zbanks@yahoo.com,Female,2024-02-19,True,5322.12,Gold
D0090,Anthony,Morrison,crystal53@wu-leonard.net,Other,2023-03-15,False,865.43,Bronze
D0091,Holly,Barnes,jenniferjohnson@hotmail.com,Male,2022-04-14,True,7069.1,Gold
D0092,Michael,Huffman,brett74@rowland.com,Other,2020-10-07,False,4027.34,Silver
D0093,Colleen,Ramirez,pcrane@yahoo.com,Female,2024-03-13,True,6744.9,Gold
D0094,David,Roach,delgadocharles@howell-spence.com,Other,2021-09-05,True,7583.41,Gold
D0095,Oscar,Campbell,ulewis@hotmail.com,Female,2021-04-11,False,6241.92,Gold
D0096,Mark,Smith,hartmandavid@mccoy.com,Male,2023-09-19,False,3155.3,Silver
D0097,Angela,Simmons,aprilwells@myers-walters.com,Male,2022-03-15,True,5787.78,Gold
D0098,Amanda,Robinson,dschwartz@hall-mendez.com,Male,2023-07-08,True,8705.52,Gold
D0099,Christopher,Sherman,huffwhitney@yahoo.com,Female,2021-09-15,True,6602.73,Gold
D0100,John,Vazquez,john29@campbell.com,Other,2025-03-11,False,3610.12,Silver
D0101,Mario,Herring,coreyhernandez@newman.com,Male,2023-09-21,False,9718.25,Gold
D0102,Stephanie,Anderson,laurajohnson@travis.org,Male,2022-02-19,True,4534.88,Silver
D0103,Eric,Whitaker,jordanwilliam@hotmail.com,Female,2023-11-07,True,6315.39,Gold
D0104,Chad,Hanson,richardhawkins@smith.com,Other,2025-04-17,False,1295.66,Silver
D0105,Rhonda,Baldwin,khanson@hotmail.com,Male,2023-07-12,False,716.52,Bronze
D0106,Eric,Singh,clarkleslie@yahoo.com,Female,2022-03-27,True,7137.13,Gold
D0107,Rebecca,Leonard,uwilliamson@perez-smith.com,Male,2023-05-12,True,778.25,Bronze
D0108,Gary,Sanchez,userrano@yahoo.com,Other,2024-01-12,True,5433.25,Gold
D0109,Chelsea,Castaneda,nicholasjohnson@hotmail.com,Other,2020-11-24,True,5892.08,Gold
D0110,Mary,Ward,stevensjessica@hotmail.com,Other,2025-01-23,True,1909.66,Silver
D0111,Eric,Ortiz,kiddkelsey@buchanan.com,Female,2024-12-06,True,3866.03,Silver
D0112,Stephanie,Hubbard,savagedavid@duncan.com,Other,2021-04-02,False,1486.48,Silver
D0113,Jake,Jenkins,walkerjudith@hotmail.com,Female,2023-06-19,True,2838.05,Silver
D0114,Michelle,Soto,hwillis@gmail.com,Female,2022-01-01,False,5154.64,Gold
D0115,Willie,Nguyen,whawkins@hill.com,Other,2024-10-16,True,8202.14,Gold
D0116,Alicia,Edwards,angela74@byrd.biz,Female,2024-10-09,False,4295.61,Silver
D0117,Jill,Walker,colemansusan@gmail.com,Other,2020-08-18,True,7707.18,Gold
D0118,Kimberly,Hill,owensandres@yahoo.com,Other,2023-03-22,False,9098.39,Gold
D0119,Carlos,Peterson,gwendolynguzman@hotmail.com,Female,2021-05-05,False,5802.54,Gold
D0120,Courtney,Rodgers,kimberlymedina@leach-williams.org,Other,2025-02-17,False,9041.09,Gold
D0121,Michael,Schultz,donna99@wilkins.com,Female,2021-03-13,True,5773.27,Gold
D0122,Christian,Scott,angelawright@gmail.com,Male,2021-09-17,True,2706.83,Silver
D0123,Samantha,Richards,jimenezwilliam@price-richard.com,Female,2025-01-02,True,7974.21,Gold
D0124,Laura,Rodriguez,sylviarivera@bennett-zimmerman.biz,Female,2021-10-29,True,7718.53,Gold
D0125,John,Watson,kmcclure@yahoo.com,Other,2021-11-23,True,235.39,Bronze
D0126,Vincent,Butler,johnnysmith@gmail.com,Male,2020-05-26,True,2200.54,Silver
D0127,Brandon,Edwards,mosesjonathon@smith.biz,Female,2021-05-13,False,6730.91,Gold
D0128,Matthew,Vasquez,kennethromero@meyer.com,Male,2022-07-29,False,5199.55,Gold
D0129,Andrea,Jarvis,andersonrose@hotmail.com,Other,2020-09-30,True,1663.49,Silver
D0130,Brian,Clark,ayalashane@gmail.com,Female,2020-07-09,True,4149.51,Silver
D0131,Jamie,Shaw,michelle00@gmail.com,Male,2024-10-20,True,7292.14,Gold
D0132,Jason,Conway,madisonvargas@yahoo.com,Other,2022-11-01,False,994.85,Bronze
D0133,Jacob,Finley,doughertyjason@pacheco-frost.com,Female,2023-09-27,True,3594.37,Silver
D0134,Christopher,Jones,mary19@lee-landry.com,Male,2021-04-06,False,3403.91,Silver
D0135,Kevin,Carpenter,ahartman@simmons-rodriguez.com,Male,2025-04-13,False,1485.73,Silver
D0136,Brian,Decker,freemantyler@hotmail.com,Other,2023-02-25,False,9508.87,Gold
D0137,Andrea,Anderson,sergioshaw@yahoo.com,Male,2022-09-30,False,2231.59,Silver
D0138,Jessica,Miles,pagevanessa@hotmail.com,Female,2023-12-26,False,2234.84,Silver
D0139,Charles,Fox,kathleenbates@king.net,Female,2023-10-12,False,5830.15,Gold
D0140,Kathleen,Choi,cassidyhensley@hotmail.com,Other,2023-05-29,False,5329.77,Gold
D0141,Sara,Frank,boylethomas@brewer.com,Other,2024-12-07,True,6724.48,Gold
D0142,John,Brown,wbush@terry.org,Female,2024-10-17,True,5484.98,Gold
D0143,Henry,Perez,moorewilliam@mccullough-griffin.com,Male,2020-11-12,False,2125.22,Silver
D0144,Michael,Foley,laurenestrada@gmail.com,Other,2020-10-20,False,4802.74,Silver
D0145,Robyn,Hodges,zskinner@patterson.org,Other,2020-09-18,True,6139.05,Gold
D0146,David,Gregory,stewartjonathan@walker-garcia.com,Other,2022-04-11,False,4580.92,Silver
D0147,Cory,Hall,anthonygates@hotmail.com,Female,2022-11-09,True,6191.12,Gold
D0148,Erin,Haas,gregory97@hughes-flores.info,Female,2022-05-07,True,982.5,Bronze
D0149,Joshua,Warner,jwolf@hotmail.com,Male,2025-05-13,True,1744.12,Silver
D0150,Tara,Dean,yhoward@gmail.com,Other,2020-08-10,False,4833.85,Silver
D0151,Nicole,Wright,samanthawhitaker@gmail.com,Male,2022-06-25,False,633.22,Bronze
D0152,Nicole,Smith,daniel43@brown-davis.info,Other,2022-05-14,False,9021.05,Gold
D0153,Jennifer,Johnson,paynecraig@miller-perez.net,Female,2020-12-20,True,7337.05,Gold
D0154,Shelby,Reynolds,george99@howell-levine.biz,Female,2024-12-24,False,6467.74,Gold
D0155,Stephanie,Sullivan,fishermichael@hotmail.com,Other,2021-11-22,True,3128.36,Silver
D0156,Tommy,Beck,barbarahunt@gmail.com,Female,2022-07-28,False,6270.17,Gold
D0157,Joe,Spence,mario49@boyd-barnes.net,Female,2022-03-27,False,9111.23,Gold
D0158,Jennifer,Chapman,brucesnyder@fernandez.org,Male,2024-12-08,True,8487.17,Gold
D0159,Christopher,Mitchell,david34@young.biz,Female,2020-08-06,True,2951.63,Silver
D0160,Cynthia,Jones,sabrinadaugherty@yahoo.com,Male,2024-10-27,False,1056.52,Silver
D0161,Matthew,Chapman,kathleenhall@lee.org,Other,2024-07-12,False,8505.71,Gold
D0162,Michael,Carney,kelleyjustin@scott-murphy.com,Female,2020-12-22,False,8429.95,Gold
D0163,Kristen,Lewis,erickoch@lozano.com,Other,2023-12-18,False,289.49,Bronze
D0164,Jennifer,Watkins,dmckay@yahoo.com,Female,2022-01-24,False,9185.52,Gold
D0165,Charlotte,Mcguire,hwilliams@lopez.com,Other,2023-02-14,False,8391.81,Gold
D0166,Tiffany,Gregory,evanssamantha@burch.info,Other,2023-01-16,False,683.38,Bronze
D0167,Deborah,Thomas,alexisanderson@yahoo.com,Male,2021-02-24,True,8852.07,Gold
D0168,Johnathan,Wiley,aaronbutler@gmail.com,Male,2023-07-26,False,4050.36,Silver
D0169,Ruben,Thornton,sergiosanchez@williams-lopez.com,Male,2020-09-09,False,3383.87,Silver
D0170,Karen,Chambers,mhicks@manning-greene.info,Female,2020-11-09,False,2472.44,Silver
D0171,Daniel,Williams,robin08@morgan-proctor.net,Other,2025-04-12,False,7009.59,Gold
D0172,Lawrence,Nguyen,nbarr@wallace.biz,Male,2021-04-07,True,3934.9,Silver
D0173,Timothy,Davis,jhamilton@gmail.com,Other,2023-04-30,True,6447.72,Gold
D0174,Billy,Cantrell,smithrebecca@yahoo.com,Male,2023-10-11,True,2546.65,Silver
D0175,William,Richard,amanda26@yahoo.com,Male,2021-05-19,False,1491.77,Silver
D0176,David,Parker,heatherbrown@hotmail.com,Male,2023-10-22,False,9887.08,Gold
D0177,Michael,Sandoval,kaylawilson@gmail.com,Male,2022-06-02,False,2375.54,Silver
D0178,Andrew,Campbell,igonzalez@yahoo.com,Female,2024-03-01,False,7064.27,Gold
D0179,Jon,Vargas,timothy90@vincent.com,Female,2022-03-08,False,7454.15,Gold
D0180,David,Haynes,nicolehoward@hotmail.com,Female,2024-05-18,True,5356.86,Gold
D0181,Nicole,Robinson,wjames@yahoo.com,Female,2021-03-19,True,549.68,Bronze
D0182,John,Butler,tracey77@velasquez.com,Male,2025-04-08,False,6373.85,Gold
D0183,Patricia,Mueller,samantha19@hotmail.com,Other,2022-04-04,True,9452.01,Gold
D0184,Chad,Miller,martinezkevin@gmail.com,Other,2021-05-09,True,5827.06,Gold
D0185,Willie,Matthews,seantaylor@patrick.com,Other,2022-04-01,True,7731.54,Gold
D0186,Mark,Warner,tarmstrong@lowe-carlson.org,Male,2020-09-02,False,5959.01,Gold
D0187,Austin,Fuller,william87@yahoo.com,Female,2022-04-05,False,6789.5,Gold
D0188,Heather,Moore,beth45@collins-walker.info,Other,2022-01-22,False,275.34,Bronze
D0189,Oscar,Wilson,ofleming@hotmail.com,Male,2022-02-10,True,9821.41,Gold
D0190,Heather,Cohen,bowmanrobert@wright.com,Female,2021-07-05,False,3420.38,Silver
D0191,Michael,Shelton,nicholas82@garza.com,Male,2021-04-13,False,1829.68,Silver
D0192,Adrian,Baldwin,elizabeth73@ortiz.com,Other,2022-02-23,True,6546.39,Gold
D0193,Robert,Diaz,davidhoward@gray-aguilar.com,Male,2024-07-29,False,9738.92,Gold
D0194,Diana,Hill,jesserivera@gmail.com,Other,2022-07-29,True,7747.2,Gold
D0195,Javier,Mcintyre,suzannemoreno@hotmail.com,Other,2022-05-10,False,4586.23,Silver
D0196,Matthew,Perez,robinalexander@hotmail.com,Male,2020-08-02,True,2742.34,Silver
D0197,Dalton,Ellis,sarafrank@smith.com,Female,2020-06-08,True,3237.71,Silver
D0198,Ronald,Henderson,kristenthomas@gmail.com,Other,2022-03-17,False,8198.93,Gold
D0199,Steven,Jones,donaldsonalexandra@gmail.com,Other,2021-11-18,True,8594.42,Gold
D0200,Kaitlin,Rivera,ericmccullough@gibbs.com,Female,2023-06-24,True,1802.4,Silver
D0201,Donna,Zimmerman,kelly47@hotmail.com,Female,2022-02-22,False,5396.07,Gold
D0202,Walter,Kelly,zachary04@haney-francis.com,Other,2023-01-17,False,5458.72,Gold
D0203,Deanna,Gonzalez,chavezrobert@gmail.com,Female,2020-07-23,False,8179.94,Gold
D0204,Susan,Ruiz,hryan@hayes-dunn.com,Female,2021-01-30,False,9573.68,Gold
D0205,Andrea,Richardson,wilsonlaura@mathis.com,Female,2023-04-29,False,784.0,Bronze
D0206,Joyce,Williams,rebecca99@sutton.com,Male,2024-05-20,False,6309.28,Gold
D0207,George,Barnett,xthornton@yahoo.com,Female,2021-12-18,False,7640.95,Gold
D0208,Michael,Porter,cynthia02@yahoo.com,Male,2024-05-12,True,3318.51,Silver
D0209,Michelle,Douglas,mjenkins@phelps.biz,Female,2023-05-05,True,3937.3,Silver
D0210,Jamie,Mcdowell,aaron08@gmail.com,Male,2023-06-17,False,5828.85,Gold
D0211,Jason,Welch,richard83@gmail.com,Female,2021-01-29,True,8654.76,Gold
D0212,Michael,Rogers,ebennett@bennett-jordan.com,Other,2023-10-14,True,604.9,Bronze
D0213,Jose,Brown,amanda51@gmail.com,Male,2023-11-01,False,9768.58,Gold
D0214,Barbara,Lee,toddgay@hotmail.com,Male,2021-03-11,False,4015.51,Silver
D0215,Jay,Hoover,fisherchristine@walters.com,Female,2022-07-26,False,403.97,Bronze
D0216,Paul,Cochran,wwright@taylor-hernandez.com,Female,2023-08-31,True,7915.57,Gold
D0217,Denise,Hall,leah60@gmail.com,Male,2023-09-29,False,3558.49,Silver
D0218,Alexa,Mckay,ythomas@munoz-lee.com,Female,2024-12-23,True,2052.83,Silver
D0219,Richard,Hutchinson,vrussell@yahoo.com,Male,2021-08-26,False,3126.3,Silver
D0220,Gary,Wright,kimberlyterry@moreno.net,Male,2021-11-08,False,3618.57,Silver
D0221,Matthew,Cannon,leslie59@gmail.com,Male,2023-04-08,False,9829.55,Gold
D0222,Randy,Hernandez,emilyperez@yahoo.com,Female,2022-05-15,True,4150.22,Silver
D0223,Christina,Steele,stephanieallen@finley-zimmerman.info,Female,2023-04-03,False,1775.27,Silver
D0224,Laura,Garcia,harveytina@velazquez.org,Female,2024-10-15,False,8011.62,Gold
D0225,David,Mack,dominguezchristopher@fisher.com,Male,2022-11-28,True,5182.01,Gold
D0226,Keith,Vaughn,adrian83@yahoo.com,Male,2022-07-12,True,2067.75,Silver
D0227,Benjamin,Richardson,kstuart@boyer.biz,Female,2021-12-01,True,1608.57,Silver
D0228,Hayden,Schaefer,pgraves@shea.info,Female,2024-11-12,False,9803.36,Gold
D0229,William,Diaz,megan30@anderson.com,Male,2024-08-29,False,3702.78,Silver
D0230,Taylor,Pope,troyjensen@hotmail.com,Other,2021-10-03,True,2111.93,Silver
D0231,Elijah,Davis,ronnie81@gmail.com,Other,2021-04-10,False,8665.41,Gold
D0232,Taylor,Jackson,kgray@hotmail.com,Female,2023-08-17,False,4832.85,Silver
D0233,Erin,Jones,hritter@hotmail.com,Male,2021-04-02,False,9838.75,Gold
D0234,Rachel,Washington,richard14@cardenas.com,Male,2024-09-05,False,4761.4,Silver
D0235,James,Hendrix,michelle07@gmail.com,Other,2021-08-10,False,1865.88,Silver
D0236,Ian,Lewis,danny25@meyer.com,Female,2023-02-02,True,3999.13,Silver
D0237,Ronald,Ball,holly93@yahoo.com,Female,2021-06-14,True,7168.31,Gold
D0238,Michael,Rivera,dominiquewalter@knox.com,Female,2022-01-22,True,7627.17,Gold
D0239,Kyle,Warner,laceydeleon@yahoo.com,Other,2021-09-17,False,9455.0,Gold
D0240,Joseph,Sandoval,stacychandler@gmail.com,Female,2021-05-05,False,2787.35,Silver
D0241,Craig,Patterson,dominiquehorn@moore.net,Other,2022-03-17,True,8281.55,Gold
D0242,Savannah,Butler,jacksonkelly@gmail.com,Female,2024-12-06,True,7761.22,Gold
D0243,Suzanne,Wagner,kparker@hotmail.com,Male,2025-02-07,True,7995.81,Gold
D0244,Holly,Mcmillan,huffmicheal@hotmail.com,Male,2022-10-16,True,186.94,Bronze
D0245,Manuel,Perry,crystalli@torres.org,Other,2021-01-11,True,7346.5,Gold
D0246,Kayla,Miller,gonzalezkara@yahoo.com,Other,2020-07-31,True,8732.08,Gold
D0247,Carmen,Orr,carpentermelissa@vega-rose.biz,Male,2023-07-17,False,1001.78,Silver
D0248,Lauren,Perez,teresa86@clayton.com,Female,2025-02-17,False,2773.02,Silver
D0249,Michelle,Crawford,hamptonthomas@farmer.net,Female,2023-11-16,True,6823.52,Gold
D0250,Arthur,Harris,dwoods@gmail.com,Male,2022-11-25,True,7661.66,Gold
D0251,Stacey,Hicks,youngcheryl@yahoo.com,Other,2023-05-14,False,4500.49,Silver
D0252,Sarah,Rodriguez,christophermeadows@gmail.com,Male,2023-08-11,False,2354.61,Silver
D0253,Adam,Cruz,jensenthomas@martinez-estrada.org,Other,2021-11-04,True,6038.3,Gold
D0254,Daniel,Jones,denise68@yahoo.com,Female,2024-12-16,True,2906.27,Silver
D0255,David,Welch,ajohnson@collins.com,Female,2022-05-13,False,2355.03,Silver
D0256,William,Harris,emily47@yahoo.com,Male,2023-05-01,True,4210.49,Silver
D0257,Michael,Jackson,chelseaestrada@hotmail.com,Other,2024-06-18,True,2687.5,Silver
D0258,Jared,Johnson,abarnes@ford-robinson.com,Other,2024-08-03,True,2717.94,Silver
D0259,Kenneth,Cox,campbellmelanie@johnson.com,Female,2021-07-01,False,6095.24,Gold
D0260,Debbie,Green,brittany77@thompson-richards.com,Female,2024-06-25,True,2144.58,Silver
D0261,Antonio,Davila,karengreene@yahoo.com,Male,2021-02-19,False,5418.1,Gold
D0262,Ebony,Garcia,john86@lee.com,Other,2022-08-07,True,4529.93,Silver
D0263,Nathaniel,Cruz,stevenlawson@gmail.com,Other,2023-01-05,False,76.33,Bronze
D0264,Katherine,Ellis,smithmarie@gibson.com,Female,2022-08-24,True,4332.94,Silver
D0265,Virginia,Cruz,kevin64@hotmail.com,Male,2024-07-26,True,803.74,Bronze
D0266,Johnny,Taylor,maria37@yahoo.com,Other,2024-05-28,True,8872.28,Gold
D0267,Jonathan,Simmons,joshuadavis@thompson-miller.com,Other,2020-06-07,True,5510.81,Gold
D0268,Ashlee,Riggs,anthony30@yahoo.com,Male,2021-12-27,False,5708.63,Gold
D0269,Carolyn,Ward,kimberly00@gmail.com,Male,2024-05-09,False,7441.98,Gold
D0270,Andrew,Robinson,xgonzalez@bell.info,Other,2021-06-27,True,3344.85,Silver
D0271,Juan,Velazquez,kimroy@walker.com,Other,2022-11-24,False,1812.05,Silver
D0272,Joshua,Garcia,jonvasquez@robinson-andrews.com,Male,2023-05-02,False,7809.05,Gold
D0273,James,Williams,carol01@holland.com,Male,2021-01-09,True,9080.69,Gold
D0274,Kathryn,Nolan,xkemp@gmail.com,Other,2023-05-30,False,1842.8,Silver
D0275,John,Stark,hgonzalez@mitchell-carr.org,Female,2021-02-15,True,5500.18,Gold
D0276,Christopher,Harvey,angela01@gmail.com,Male,2020-09-12,False,4231.01,Silver
D0277,Lisa,Weaver,cjohns@james.com,Other,2023-04-02,True,882.88,Bronze
D0278,Valerie,Baxter,kjones@franklin-medina.net,Other,2024-12-07,True,2440.5,Silver
D0279,David,Flores,pamelavasquez@yahoo.com,Male,2022-11-14,False,7100.68,Gold
D0280,Olivia,Reyes,jacqueline07@doyle.biz,Female,2023-11-03,True,2911.64,Silver
D0281,Timothy,Martin,dylan42@holt-poole.com,Other,2023-10-23,False,9619.56,Gold
D0282,Elizabeth,Russell,christinespears@mitchell.com,Female,2021-08-08,False,8748.97,Gold
D0283,Adam,Mendoza,eric32@gomez.com,Female,2022-04-02,True,7400.64,Gold
D0284,Darlene,Stephens,hjones@gmail.com,Other,2020-07-05,True,6981.02,Gold
D0285,Mary,Mendoza,jacobclark@gmail.com,Male,2021-01-07,True,2375.71,Silver
D0286,David,Cameron,christinagarcia@rodriguez.net,Male,2023-03-07,True,2309.77,Silver
D0287,Danielle,Sanders,andrewbennett@mcintosh.com,Other,2021-05-27,True,3200.87,Silver
D0288,Lee,Durham,brendagarcia@hamilton.com,Other,2021-07-18,False,2014.71,Silver
D0289,Mckenzie,Jones,khernandez@hotmail.com,Other,2021-02-02,False,4355.15,Silver
D0290,Devin,Jones,erikmontoya@gmail.com,Female,2022-11-26,True,5809.14,Gold
D0291,Jason,Walker,ningram@tran-lin.com,Male,2020-08-07,False,9534.56,Gold
D0292,Kristen,Williams,debbie15@terry.biz,Female,2021-07-17,False,2871.69,Silver
D0293,Kevin,Stout,brianperkins@hotmail.com,Male,2025-02-26,False,9634.21,Gold
D0294,Patricia,Chambers,kbowers@hotmail.com,Other,2023-07-07,False,8601.42,Gold
D0295,Laurie,Smith,fhenderson@johnson-alvarez.com,Male,2024-12-30,False,9101.63,Gold
