donation_id,donor_id,campaign_id,donation_date,amount,method,status,first_name,last_name,email,gender,join_date,alumni_status,total_gifts,donor_tier,name,type,start_date,manager,end_date,goal_amount,donation_month,donation_year,percent_of_goal,donation_success_flag
DON00016,D0615,CAMP014,2024-09-29,2595.02,Cash,Completed,Brian,Christian,tamara45@gmail.com,Male,2024-11-01,False,9271.35,Gold,Monetize Real-Time Convergence,Emergency Relief,2023-06-26,Angela Tate,2024-01-25,91535,2024-09,2024,2.8350030043152894,1
DON00017,D0279,CAMP009,2020-08-09,2318.63,Cash,Completed,David,Flores,pamelavasquez@yahoo.com,Male,2022-11-14,False,7100.68,Gold,Whiteboard Holistic Users,Emergency Relief,2023-04-30,Jeremy Lee,2024-07-24,58464,2020-08,2020,3.965910645867542,1
DON00018,D0355,CAMP021,2024-04-04,2523.74,Credit Card,Refunded,Glen,Gardner,durhammaurice@mccoy-chase.com,Male,2022-02-13,False,9203.05,Gold,Extend Innovative Applications,Emergency Relief,2021-01-31,Natalie Dougherty,2021-07-09,247090,2024-04,2024,1.021384920474321,0
DON00019,D0584,CAMP021,2020-09-21,4584.37,Online,Failed,Kenneth,Kelley,rebeccathompson@gmail.com,Male,2021-09-08,True,862.03,Bronze,Extend Innovative Applications,Emergency Relief,2021-01-31,Natalie Dougherty,2021-07-09,247090,2020-09,2020,1.8553442065644097,0
DON00020,D0905,CAMP024,2024-10-23,1255.02,Credit Card,Refunded,Todd,Acevedo,anthonyfrost@gmail.com,Other,2025-03-11,True,7710.86,Gold,Morph Next-Generation Paradigms,Emergency Relief,2025-04-08,Megan Richardson,2025-04-13,93930,2024-10,2024,1.3361226445225167,0
DON00021,D0190,CAMP011,2020-11-30,2180.56,Cash,Refunded,Heather,Cohen,bowmanrobert@wright.com,Female,2021-07-05,False,3420.38,Silver,Incentivize Efficient Action-Items,Athletics,2021-08-15,Jessica Gonzales,2025-04-06,125565,2020-11,2020,1.7365985744435153,0
DON00022,D0708,CAMP009,2022-05-09,2447.01,Check,Completed,Brian,Davis,jenna44@gmail.com,Female,2022-02-10,False,111.05,Bronze,Whiteboard Holistic Users,Emergency Relief,2023-04-30,Jeremy Lee,2024-07-24,58464,2022-05,2022,4.185498768472907,1
DON00023,D0092,CAMP011,2021-10-17,836.65,Cash,Refunded,Michael,Huffman,brett74@rowland.com,Other,2020-10-07,False,4027.34,Silver,Incentivize Efficient Action-Items,Athletics,2021-08-15,Jessica Gonzales,2025-04-06,125565,2021-10,2021,0.6663082865448174,0
DON00024,D0539,CAMP006,2022-06-24,2569.81,Online,Failed,Claire,Phillips,juliewest@yahoo.com,Male,2021-08-18,False,1796.78,Silver,Utilize Vertical E-Tailers,Athletics,2024-01-01,John Mclaughlin,2025-01-13,43725,2022-06,2022,5.877209834190966,0
DON00025,D0252,CAMP015,2021-04-25,4228.27,Check,Failed,Sarah,Rodriguez,christophermeadows@gmail.com,Male,2023-08-11,False,2354.61,Silver,Envisioneer Enterprise Mindshare,Scholarships,2020-07-14,Brandon Sims,2021-10-24,169108,2021-04,2021,2.50033706270549,0
DON00026,D0172,CAMP007,2023-08-31,1106.73,Check,Failed,Lawrence,Nguyen,nbarr@wallace.biz,Male,2021-04-07,True,3934.9,Silver,Generate Intuitive Schemas,Athletics,2024-01-17,Jessica Davis,2025-03-08,60022,2023-08,2023,1.843873912898604,0
DON00027,D0621,CAMP018,2022-03-08,1621.99,Cash,Failed,Debra,Brown,kennethconner@yahoo.com,Female,2020-11-24,True,7905.92,Gold,Empower World-Class Communities,Alumni Giving,2025-01-23,Christopher Henderson,2025-01-28,27291,2022-03,2022,5.9433146458539445,0
DON00028,D0703,CAMP024,2021-02-05,2208.03,Cash,Refunded,Teresa,Green,qsmith@travis.net,Female,2024-03-14,True,9604.07,Gold,Morph Next-Generation Paradigms,Emergency Relief,2025-04-08,Megan Richardson,2025-04-13,93930,2021-02,2021,2.350718620249122,0
DON00029,D0871,CAMP007,2021-01-23,310.85,Credit Card,Refunded,Janice,Lam,annabennett@hamilton-phillips.com,Male,2022-05-26,True,8174.55,Gold,Generate Intuitive Schemas,Athletics,2024-01-17,Jessica Davis,2025-03-08,60022,2021-01,2021,0.5178934390723402,0
DON00030,D0665,CAMP010,2023-04-15,3472.82,Cash,Refunded,Melissa,Williams,joseph49@yahoo.com,Other,2020-06-30,True,4662.37,Silver,Exploit Dot-Com E-Commerce,Scholarships,2020-07-08,Amanda Price DVM,2020-11-12,171983,2023-04,2023,2.0192809754452474,0
DON00031,D0865,CAMP015,2023-09-14,165.27,Cash,Failed,Noah,Potts,collin94@smith-tucker.info,Other,2021-07-07,True,3396.24,Silver,Envisioneer Enterprise Mindshare,Scholarships,2020-07-14,Brandon Sims,2021-10-24,169108,2023-09,2023,0.09773044444970078,0
DON00032,D0886,CAMP006,2021-07-18,3895.4,Online,Completed,Kyle,Sosa,whitney86@yahoo.com,Male,2021-09-26,False,5788.62,Gold,Utilize Vertical E-Tailers,Athletics,2024-01-01,John Mclaughlin,2025-01-13,43725,2021-07,2021,8.908862206975416,1
DON00033,D0184,CAMP024,2020-09-15,139.65,Check,Completed,Chad,Miller,martinezkevin@gmail.com,Other,2021-05-09,True,5827.06,Gold,Morph Next-Generation Paradigms,Emergency Relief,2025-04-08,Megan Richardson,2025-04-13,93930,2020-09,2020,0.14867454487384224,1
DON00034,D0909,CAMP010,2021-03-06,3170.84,Cash,Refunded,Teresa,Stone,john33@yahoo.com,Male,2022-09-16,False,1213.83,Silver,Exploit Dot-Com E-Commerce,Scholarships,2020-07-08,Amanda Price DVM,2020-11-12,171983,2021-03,2021,1.843693853462261,0
DON00035,D0648,CAMP015,2025-01-25,2607.12,Credit Card,Failed,Glenn,Henderson,dcarey@gmail.com,Male,2021-12-29,True,3574.51,Silver,Envisioneer Enterprise Mindshare,Scholarships,2020-07-14,Brandon Sims,2021-10-24,169108,2025-01,2025,1.5416893346263925,0
DON00036,D0834,CAMP023,2020-09-22,3853.69,Credit Card,Refunded,Julie,Reyes,jonathan86@gardner.org,Male,2022-11-08,False,3693.85,Silver,Aggregate Real-Time Markets,Alumni Giving,2021-09-10,Alyssa Stone,2023-12-27,41995,2020-09,2020,9.176544826765092,0
DON00037,D0700,CAMP008,2025-02-25,2044.03,Online,Failed,Wanda,Ford,kyleporter@foley.biz,Other,2021-07-01,True,2855.76,Silver,Deliver Robust Vortals,Athletics,2021-03-18,Ms. Carly Smith,2021-08-30,215102,2025-02,2025,0.9502608065011018,0
DON00038,D0408,CAMP007,2024-02-14,3115.43,Credit Card,Completed,Kyle,Parks,dennis02@jones.net,Other,2021-10-13,False,2362.94,Silver,Generate Intuitive Schemas,Athletics,2024-01-17,Jessica Davis,2025-03-08,60022,2024-02,2024,5.190480157275665,1
DON00039,D0601,CAMP024,2025-03-13,3730.74,Cash,Completed,Angelica,Steele,stephenrobinson@hotmail.com,Other,2020-10-11,False,4317.64,Silver,Morph Next-Generation Paradigms,Emergency Relief,2025-04-08,Megan Richardson,2025-04-13,93930,2025-03,2025,3.97183008623443,1
DON00040,D0472,CAMP012,2024-02-29,4709.24,Online,Refunded,Tracy,Rodriguez,christopher47@yahoo.com,Female,2022-11-06,False,1642.05,Silver,Visualize Revolutionary Bandwidth,Emergency Relief,2020-07-07,Christine Li,2023-06-28,44114,2024-02,2024,10.675159813211225,0
DON00041,D0232,CAMP014,2021-01-21,3276.54,Online,Completed,Taylor,Jackson,kgray@hotmail.com,Female,2023-08-17,False,4832.85,Silver,Monetize Real-Time Convergence,Emergency Relief,2023-06-26,Angela Tate,2024-01-25,91535,2021-01,2021,3.579548806467472,1
DON00042,D0934,CAMP021,2024-05-18,1119.45,Credit Card,Failed,Tyrone,Aguilar,ericlawrence@yahoo.com,Female,2021-10-02,True,7200.2,Gold,Extend Innovative Applications,Emergency Relief,2021-01-31,Natalie Dougherty,2021-07-09,247090,2024-05,2024,0.4530535432433526,0
DON00043,D0042,CAMP023,2024-07-26,484.56,Credit Card,Refunded,Anthony,Stephens,jirwin@sloan-moody.com,Female,2021-03-27,False,9545.44,Gold,Aggregate Real-Time Markets,Alumni Giving,2021-09-10,Alyssa Stone,2023-12-27,41995,2024-07,2024,1.153851649005834,0
DON00044,D0871,CAMP019,2025-04-08,3585.87,Cash,Failed,Janice,Lam,annabennett@hamilton-phillips.com,Male,2022-05-26,True,8174.55,Gold,Incentivize B2C Relationships,Alumni Giving,2022-05-23,Linda Hicks,2022-06-12,67273,2025-04,2025,5.330325687868833,0
DON00045,D0135,CAMP016,2023-11-02,4078.12,Online,Completed,Kevin,Carpenter,ahartman@simmons-rodriguez.com,Male,2025-04-13,False,1485.73,Silver,Architect Proactive E-Commerce,Athletics,2024-12-25,Rhonda Foster,2025-03-12,176530,2023-11,2023,2.3101569138390077,1
DON00046,D0219,CAMP011,2024-02-28,4560.66,Check,Completed,Richard,Hutchinson,vrussell@yahoo.com,Male,2021-08-26,False,3126.3,Silver,Incentivize Efficient Action-Items,Athletics,2021-08-15,Jessica Gonzales,2025-04-06,125565,2024-02,2024,3.632110858917692,1
DON00047,D0378,CAMP006,2024-03-27,3173.42,Check,Failed,Meagan,Wright,gavin42@yahoo.com,Other,2021-07-16,False,4861.42,Silver,Utilize Vertical E-Tailers,Athletics,2024-01-01,John Mclaughlin,2025-01-13,43725,2024-03,2024,7.25767867352773,0
DON00048,D0110,CAMP012,2022-12-19,1189.99,Credit Card,Completed,Mary,Ward,stevensjessica@hotmail.com,Other,2025-01-23,True,1909.66,Silver,Visualize Revolutionary Bandwidth,Emergency Relief,2020-07-07,Christine Li,2023-06-28,44114,2022-12,2022,2.69753366278279,1
DON00049,D0006,CAMP020,2024-08-27,609.62,Credit Card,Failed,Sandra,Davis,chelsea35@davis.com,Other,2024-06-23,True,9202.98,Gold,Benchmark Clicks-And-Mortar Technologies,Scholarships,2024-04-27,Brian Nelson,2024-10-04,214712,2024-08,2024,0.2839245128357986,0
DON00050,D0058,CAMP007,2022-03-12,2927.3,Cash,Failed,Kevin,Medina,debra24@hotmail.com,Male,2023-02-18,True,5092.15,Gold,Generate Intuitive Schemas,Athletics,2024-01-17,Jessica Davis,2025-03-08,60022,2022-03,2022,4.877045083469395,0
DON00051,D0603,CAMP003,2022-06-13,158.49,Online,Refunded,Maria,Berger,wadetammy@hotmail.com,Female,2024-12-15,False,7179.73,Gold,Target Magnetic Metrics,Emergency Relief,2020-08-09,Thomas Hill,2022-10-31,47449,2022-06,2022,0.3340217918185842,0
DON00052,D0917,CAMP012,2022-10-14,3877.78,Cash,Completed,Dylan,Stephenson,davisedward@hotmail.com,Female,2022-02-08,False,3484.18,Silver,Visualize Revolutionary Bandwidth,Emergency Relief,2020-07-07,Christine Li,2023-06-28,44114,2022-10,2022,8.790361336537154,1
DON00053,D0492,CAMP009,2022-11-26,1469.2,Check,Refunded,Travis,Fox,joann38@gmail.com,Female,2022-12-20,False,8318.51,Gold,Whiteboard Holistic Users,Emergency Relief,2023-04-30,Jeremy Lee,2024-07-24,58464,2022-11,2022,2.512999452654625,0
DON00054,D0100,CAMP003,2021-02-21,2803.8,Credit Card,Refunded,John,Vazquez,john29@campbell.com,Other,2025-03-11,False,3610.12,Silver,Target Magnetic Metrics,Emergency Relief,2020-08-09,Thomas Hill,2022-10-31,47449,2021-02,2021,5.909081329427385,0
DON00055,D0101,CAMP001,2020-07-16,3617.24,Credit Card,Refunded,Mario,Herring,coreyhernandez@newman.com,Male,2023-09-21,False,9718.25,Gold,Integrate Synergistic Relationships,Athletics,2023-08-16,Daniel Wilson,2024-07-22,217610,2020-07,2020,1.6622581682827073,0
DON00056,D0556,CAMP017,2022-06-25,39.63,Cash,Completed,Steven,Short,julia77@yahoo.com,Male,2021-02-20,True,6502.27,Gold,Matrix Efficient Niches,Emergency Relief,2024-09-15,Nicholas Cochran,2024-12-22,86721,2022-06,2022,0.04569827377451829,1
DON00057,D0444,CAMP020,2021-03-10,3894.3,Cash,Completed,Danielle,Meadows,jmoore@malone.biz,Male,2025-03-01,True,6967.95,Gold,Benchmark Clicks-And-Mortar Technologies,Scholarships,2024-04-27,Brian Nelson,2024-10-04,214712,2021-03,2021,1.8137318827079998,1
DON00058,D0910,CAMP010,2022-03-22,3399.1,Check,Refunded,Tammy,Kennedy,rmartin@yahoo.com,Female,2022-02-12,True,2889.0,Silver,Exploit Dot-Com E-Commerce,Scholarships,2020-07-08,Amanda Price DVM,2020-11-12,171983,2022-03,2022,1.9764162737014705,0
DON00059,D0501,CAMP007,2023-06-02,343.22,Online,Completed,Paul,Smith,codyjones@gmail.com,Other,2024-07-04,False,2647.21,Silver,Generate Intuitive Schemas,Athletics,2024-01-17,Jessica Davis,2025-03-08,60022,2023-06,2023,0.5718236646562928,1
DON00060,D0008,CAMP021,2022-09-16,4209.66,Credit Card,Completed,Diana,Lee,smithjoshua@dodson-frye.com,Other,2024-05-27,True,5515.99,Gold,Extend Innovative Applications,Emergency Relief,2021-01-31,Natalie Dougherty,2021-07-09,247090,2022-09,2022,1.7036950099154153,1
DON00061,D0856,CAMP025,2020-08-21,1464.27,Credit Card,Refunded,Bradley,Lopez,timothyyoung@wu-robinson.com,Female,2021-08-20,False,1309.76,Silver,Drive Open-Source Architectures,Alumni Giving,2022-07-22,Andrea Smith,2023-08-14,220949,2020-08,2020,0.6627185459087844,0
DON00062,D0953,CAMP018,2024-05-21,2262.03,Check,Failed,Ann,Morrison,danny48@willis-anderson.com,Other,2022-05-24,True,5138.24,Gold,Empower World-Class Communities,Alumni Giving,2025-01-23,Christopher Henderson,2025-01-28,27291,2024-05,2024,8.288556667033088,0
DON00063,D0463,CAMP008,2023-09-23,1928.39,Online,Refunded,Tina,Matthews,debra78@hotmail.com,Female,2024-12-29,False,207.85,Bronze,Deliver Robust Vortals,Athletics,2021-03-18,Ms. Carly Smith,2021-08-30,215102,2023-09,2023,0.8965002649905627,0
DON00064,D0225,CAMP005,2022-06-29,4334.2,Credit Card,Refunded,David,Mack,dominguezchristopher@fisher.com,Male,2022-11-28,True,5182.01,Gold,Morph Turn-Key Channels,Emergency Relief,2021-02-23,Carol Snyder,2021-11-07,189582,2022-06,2022,2.286187507252798,0
DON00065,D0862,CAMP022,2024-01-25,839.56,Cash,Completed,Emily,Larson,heathermichael@jones-powell.net,Other,2023-04-01,True,420.56,Bronze,Implement End-To-End Convergence,Emergency Relief,2022-03-16,Christopher Cantu,2022-10-01,171494,2024-01,2024,0.4895564859411991,1
DON00066,D0935,CAMP025,2025-03-14,3364.67,Check,Failed,Debra,Johnson,andrea32@hampton-young.com,Other,2020-12-25,False,9334.93,Gold,Drive Open-Source Architectures,Alumni Giving,2022-07-22,Andrea Smith,2023-08-14,220949,2025-03,2025,1.5228265346301637,0
DON00067,D0643,CAMP023,2025-01-30,1938.48,Online,Completed,Kimberly,Crane,tony42@hotmail.com,Male,2024-01-14,True,6755.11,Gold,Aggregate Real-Time Markets,Alumni Giving,2021-09-10,Alyssa Stone,2023-12-27,41995,2025-01,2025,4.615978092630075,1
DON00068,D0104,CAMP010,2021-10-18,2430.39,Online,Refunded,Chad,Hanson,richardhawkins@smith.com,Other,2025-04-17,False,1295.66,Silver,Exploit Dot-Com E-Commerce,Scholarships,2020-07-08,Amanda Price DVM,2020-11-12,171983,2021-10,2021,1.4131571143659547,0
DON00069,D0423,CAMP002,2024-12-10,3653.28,Check,Completed,Jonathan,Anthony,oreynolds@gmail.com,Male,2022-08-24,True,9379.5,Gold,Generate Clicks-And-Mortar Eyeballs,Emergency Relief,2020-11-22,Christopher Murphy,2021-01-02,197004,2024-12,2024,1.8544191996101602,1
DON00070,D0132,CAMP005,2023-12-05,3230.43,Credit Card,Failed,Jason,Conway,madisonvargas@yahoo.com,Other,2022-11-01,False,994.85,Bronze,Morph Turn-Key Channels,Emergency Relief,2021-02-23,Carol Snyder,2021-11-07,189582,2023-12,2023,1.7039750609235054,0
DON00071,D0363,CAMP023,2025-04-03,390.65,Check,Refunded,Colleen,Vazquez,kinggina@cole.com,Male,2021-12-25,True,1262.26,Silver,Aggregate Real-Time Markets,Alumni Giving,2021-09-10,Alyssa Stone,2023-12-27,41995,2025-04,2025,0.9302297892606263,0
DON00072,D0518,CAMP017,2023-03-15,3659.48,Credit Card,Completed,Scott,Odom,kelsey65@farmer-sanchez.com,Female,2021-07-10,False,9664.09,Gold,Matrix Efficient Niches,Emergency Relief,2024-09-15,Nicholas Cochran,2024-12-22,86721,2023-03,2023,4.219831413383148,1
DON00073,D0671,CAMP005,2023-01-08,2802.23,Online,Refunded,Allison,Lopez,dennis17@gmail.com,Female,2020-06-18,False,1894.08,Silver,Morph Turn-Key Channels,Emergency Relief,2021-02-23,Carol Snyder,2021-11-07,189582,2023-01,2023,1.4781097361563862,0
DON00074,D0099,CAMP012,2022-05-07,4503.67,Credit Card,Refunded,Christopher,Sherman,huffwhitney@yahoo.com,Female,2021-09-15,True,6602.73,Gold,Visualize Revolutionary Bandwidth,Emergency Relief,2020-07-07,Christine Li,2023-06-28,44114,2022-05,2022,10.20916262411026,0
DON00075,D0394,CAMP017,2023-08-26,1625.89,Credit Card,Failed,Samantha,Brown,jamesclark@gmail.com,Male,2020-10-08,True,1992.95,Silver,Matrix Efficient Niches,Emergency Relief,2024-09-15,Nicholas Cochran,2024-12-22,86721,2023-08,2023,1.8748515353835866,0
DON00076,D0479,CAMP008,2025-04-12,2700.0,Check,Failed,Charles,Vega,karengoodman@stout.com,Other,2022-08-05,True,8952.73,Gold,Deliver Robust Vortals,Athletics,2021-03-18,Ms. Carly Smith,2021-08-30,215102,2025-04,2025,1.2552184545006555,0
DON00077,D0894,CAMP001,2024-04-29,3022.84,Cash,Refunded,Edward,Gilmore,kellybradley@gmail.com,Female,2023-02-13,True,6316.26,Gold,Integrate Synergistic Relationships,Athletics,2023-08-16,Daniel Wilson,2024-07-22,217610,2024-04,2024,1.3891089563898718,0
DON00078,D0256,CAMP011,2023-05-31,1128.97,Credit Card,Completed,William,Harris,emily47@yahoo.com,Male,2023-05-01,True,4210.49,Silver,Incentivize Efficient Action-Items,Athletics,2021-08-15,Jessica Gonzales,2025-04-06,125565,2023-05,2023,0.8991120136980847,1
DON00079,D0668,CAMP018,2023-12-14,153.03,Cash,Failed,Sandra,Chen,swhite@hamilton.com,Female,2022-03-07,True,6421.06,Gold,Empower World-Class Communities,Alumni Giving,2025-01-23,Christopher Henderson,2025-01-28,27291,2023-12,2023,0.5607343080136309,0
DON00080,D0307,CAMP022,2023-11-03,2831.31,Cash,Failed,Stacie,Patel,ricky12@hotmail.com,Other,2021-05-21,True,8397.17,Gold,Implement End-To-End Convergence,Emergency Relief,2022-03-16,Christopher Cantu,2022-10-01,171494,2023-11,2023,1.650967380783001,0
DON00081,D0661,CAMP018,2023-08-30,802.9,Check,Failed,Jason,Burns,brittanymarshall@rodriguez.org,Male,2021-10-17,True,5942.31,Gold,Empower World-Class Communities,Alumni Giving,2025-01-23,Christopher Henderson,2025-01-28,27291,2023-08,2023,2.9419955296617935,0
DON00082,D0353,CAMP001,2020-09-01,724.43,Credit Card,Completed,Alejandro,James,bryan57@gmail.com,Male,2020-11-12,False,874.63,Bronze,Integrate Synergistic Relationships,Athletics,2023-08-16,Daniel Wilson,2024-07-22,217610,2020-09,2020,0.3329028996829189,1
DON00083,D0497,CAMP007,2020-11-30,3810.06,Check,Refunded,Lori,Hernandez,janice18@yahoo.com,Other,2022-01-26,True,5601.64,Gold,Generate Intuitive Schemas,Athletics,2024-01-17,Jessica Davis,2025-03-08,60022,2020-11,2020,6.347772483422745,0
DON00084,D0563,CAMP005,2022-03-17,4639.92,Check,Refunded,Morgan,Martin,jody20@yahoo.com,Other,2025-01-31,True,6655.92,Gold,Morph Turn-Key Channels,Emergency Relief,2021-02-23,Carol Snyder,2021-11-07,189582,2022-03,2022,2.447447542488211,0
DON00085,D0679,CAMP004,2024-09-27,4183.75,Credit Card,Failed,Kristen,Martinez,smithrandall@hotmail.com,Male,2024-01-30,True,7572.12,Gold,Drive Out-Of-The-Box Networks,Scholarships,2022-05-30,David James,2022-12-05,246176,2024-09,2024,1.6994954829065385,0
DON00086,D0410,CAMP024,2022-04-15,4951.94,Credit Card,Refunded,Patrick,Wilson,gabriellekeller@roberts-cummings.com,Female,2023-06-29,False,8760.51,Gold,Morph Next-Generation Paradigms,Emergency Relief,2025-04-08,Megan Richardson,2025-04-13,93930,2022-04,2022,5.271947194719472,0
DON00087,D0319,CAMP014,2023-08-17,4023.35,Check,Refunded,Pamela,Todd,steven46@hopkins.org,Male,2022-11-22,False,9487.45,Gold,Monetize Real-Time Convergence,Emergency Relief,2023-06-26,Angela Tate,2024-01-25,91535,2023-08,2023,4.395422515977495,0
DON00088,D0328,CAMP005,2021-09-02,583.34,Cash,Refunded,Nancy,Duffy,johnny08@hotmail.com,Male,2024-09-01,True,9069.62,Gold,Morph Turn-Key Channels,Emergency Relief,2021-02-23,Carol Snyder,2021-11-07,189582,2021-09,2021,0.3076979882056313,0
DON00089,D0702,CAMP001,2023-09-03,510.72,Online,Refunded,Shane,Ortega,turnermary@hotmail.com,Male,2023-12-31,True,5791.18,Gold,Integrate Synergistic Relationships,Athletics,2023-08-16,Daniel Wilson,2024-07-22,217610,2023-09,2023,0.23469509673268693,0
DON00090,D0357,CAMP024,2022-03-15,4960.11,Check,Failed,Dustin,Taylor,kyleromero@russell.com,Female,2024-10-29,False,2446.21,Silver,Morph Next-Generation Paradigms,Emergency Relief,2025-04-08,Megan Richardson,2025-04-13,93930,2022-03,2022,5.280645161290322,0
DON00091,D0461,CAMP005,2020-11-08,2391.06,Check,Completed,Timothy,Ray,arichardson@yahoo.com,Other,2021-08-29,True,8890.5,Gold,Morph Turn-Key Channels,Emergency Relief,2021-02-23,Carol Snyder,2021-11-07,189582,2020-11,2020,1.2612273317087066,1
DON00092,D0336,CAMP020,2024-05-22,3545.46,Online,Failed,Denise,Rodriguez,frankjohnson@hotmail.com,Other,2023-03-29,True,4197.59,Silver,Benchmark Clicks-And-Mortar Technologies,Scholarships,2024-04-27,Brian Nelson,2024-10-04,214712,2024-05,2024,1.6512630872983345,0
DON00093,D0929,CAMP016,2023-09-29,2966.86,Check,Failed,William,Charles,joshua24@hotmail.com,Female,2022-06-30,True,890.31,Bronze,Architect Proactive E-Commerce,Athletics,2024-12-25,Rhonda Foster,2025-03-12,176530,2023-09,2023,1.680654846201779,0
DON00094,D0010,CAMP004,2024-06-28,4253.42,Check,Refunded,Albert,Dixon,erinmoore@yahoo.com,Female,2025-04-28,False,6828.2,Gold,Drive Out-Of-The-Box Networks,Scholarships,2022-05-30,David James,2022-12-05,246176,2024-06,2024,1.7277963733264006,0
DON00095,D0561,CAMP018,2020-06-20,3082.55,Check,Refunded,Angela,Mitchell,thomasandrews@yahoo.com,Other,2021-08-24,True,4025.49,Silver,Empower World-Class Communities,Alumni Giving,2025-01-23,Christopher Henderson,2025-01-28,27291,2020-06,2020,11.295115605877395,0
DON00096,D0285,CAMP022,2022-03-19,678.97,Check,Refunded,Mary,Mendoza,jacobclark@gmail.com,Male,2021-01-07,True,2375.71,Silver,Implement End-To-End Convergence,Emergency Relief,2022-03-16,Christopher Cantu,2022-10-01,171494,2022-03,2022,0.3959147258796226,0
